draft_round,draft_pick,team,player_name,Pos,age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,rec_yards,rec_td,Int,Att.1,Yds.1,TD.1,rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,rookie_year,Unnamed: 0,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,routes_run,targeted_qb_rating,targets,yac,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,"1,000 Yard Seasons",contested_catch_pct,drop_rate,grades_hands_drop,player_name_rec,player_id,position,team_rec,player_game_count,avg_depth_of_target_rec,avoided_tackles_rec,caught_percent_rec,contested_catch_pct_rec,contested_receptions,contested_targets,declined_penalties,drop_rate_rec,drops,first_downs,franchise_id,fumbles,grades_hands_drop_rec,grades_hands_fumble,grades_offense_rec,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest_rec,pass_block_rate,pass_blocks,pass_plays,penalties,rec_rec,route_rate,routes_run_rec,slot_rate,slot_snaps,targeted_qb_rating_rec,targets_rec,rec_td_rec,wide_rate,wide_snaps,rec_yards_rec,yac_rec,yards_after_catch_per_reception_rec,yards_per_reception_rec,yprr_rec,season,has_1000_yard_season,thousand_yard_seasons,catch_rate,yards_per_route_run
6.0,190.0,KAN,Jeff Webb,WR,24.0,2008.0,0.0,0.0,0.0,2.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,36.0,382.0,1.0,6.0,,,San Diego St.,College Stats,WebbJe00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7.0,209.0,CIN,Ethan Kilmer,WR,23.0,2006.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,,Penn St.,College Stats,KilmEt00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7.0,218.0,ARI,Todd Watkins,WR,23.0,2009.0,0.0,0.0,0.0,1.0,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,90.0,0.0,5.0,,,BYU,College Stats,WatkTo20,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7.0,231.0,CIN,Bennie Brazell,WR,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,LSU,College Stats,-9999,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7.0,233.0,MIA,Devin Aromashodu,WR,22.0,2012.0,0.0,0.0,0.0,10.0,,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1193.0,5.0,3.0,,,Auburn,College Stats,AromDe00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7.0,249.0,SEA,Ben Obomanu,WR,22.0,2013.0,0.0,0.0,0.0,10.0,10.0,69.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,0.0,88.0,1217.0,7.0,23.0,,,Auburn,College Stats,ObomBe00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7.0,251.0,HOU,David Anderson,WR,23.0,2011.0,0.0,0.0,0.0,7.0,7.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,965.0,4.0,8.0,,,Colorado St.,College Stats,AndeDa01,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7.0,252.0,NOR,Marques Colston,WR,23.0,2015.0,0.0,0.0,7.0,72.0,72.0,146.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,711.0,9759.0,72.0,1.0,,,Hofstra,,ColsMa00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,0.0,0.0
7.0,255.0,OAK,Kevin Mcmahan,WR,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,Maine,,-9999,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1.0,2.0,DET,Calvin Johnson Hof,WR,21.0,2015.0,3.0,6.0,9.0,78.0,78.0,135.0,0.0,0.0,0.0,0.0,0.0,19.0,167.0,1.0,731.0,11619.0,83.0,,,,Georgia Tech,College Stats,JohnCa00,2007.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
